theme;axis;classification;weightingFactor;justification;status;year;organizationCode;organizationName;unitCode;unitName;projectActivity;application;presentInCurrentQdd;inactiveAt;importStatus;createdBy;createdAt;id
OCAD;SAUDE;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;714;SECRETARIA DE ESTADO DE ADMINISTRAÇÃO - SEAD;002;UNIDADE GESTORA DA FOLHA DE PAGAMEN TO DE PESSOAL;20490000;GESTÃO DA FOLHA DE PAGAMENTO DA FUNDAÇÃO HOSPITAL ESTADUAL DO ESTADO DO ACRE-FUNDHACRE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunk0000a0igqhxlxb8n
OCAD;ASSISTENCIA_SOCIAL;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;714;SECRETARIA DE ESTADO DE ADMINISTRAÇÃO - SEAD;002;UNIDADE GESTORA DA FOLHA DE PAGAMEN TO DE PESSOAL;20570000;GESTÃO DA FOLHA DE PAGAMENTO DA SECRETARIA DE ESTADO DE ASSISTÊNCIA SOCIAL,DOS DIREITOS HUMANOS-SEASDH.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0001a0igjnt49j4i
OCAD;ASSISTENCIA_SOCIAL;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;714;SECRETARIA DE ESTADO DE ADMINISTRAÇÃO - SEAD;002;UNIDADE GESTORA DA FOLHA DE PAGAMEN TO DE PESSOAL;20640000;GESTÃO DA FOLHA DE PAGAMENTO DO INSTITUTO SOCIOEDUCATIVO DO ESTADO DO ACRE-ISE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0002a0igmk8jsomc
OCAD;SAUDE;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;714;SECRETARIA DE ESTADO DE ADMINISTRAÇÃO - SEAD;607;FUNDES - FOLHA DE PAGAMENTO DE PESSOAL / SAÚDE;20700000;GESTÃO DA FOLHA DE PAGAMENTO DA SECRETARIA DE ESTADO DE SAÚDE-SESACRE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0003a0ig4n49tro3
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10370000;FORMAÇÃO E QUALIFICAÇÃO DOS PROFISSIONAIS EM EDUCAÇÃO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0004a0igegnj294a
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10380000;RECOMPOSIÇÃO DAS APRENDIZAGENS.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0005a0igjykd6and
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10390000;PROMOÇÃO DA EQUIDADE NAS ETAPAS E MODALIDADES DA EDUCAÇÃO BÁSICA (EJA, EDUCAÇÃO DO CAMPO, EDUCAÇÃO INDÍGENA E EDUCAÇÃO ESPECIAL).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0006a0ig3lcgbjqt
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10400000;MELHORIA, MODERNIZAÇÃO E INOVAÇÃO DA REDE ESTADUAL DE ENSINO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0007a0ig0g6cpm20
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10410000;CONSTRUÇÃO, REFORMA E AMPLIAÇÃO DOS PRÉDIOS DA EDUCAÇÃO-SEE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9elunr0008a0ig5pe0z4qk
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10420000;PROMOÇÃO DA ASSISTÊNCIA ESTUDANTIL.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns0009a0igzztvho7g
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10430000;PROMOÇÃO DOS DIREITOS HUMANOS E DIVERSIDADE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000aa0igpfobbt8c
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10440000;FORTALECIMENTO DA REDE COLABORATIVA DE CUIDADO E SEGURANÇA ESCOLAR.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ba0ig61m6zcs2
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;10940000;PROMOÇÃO DE AÇÕES DE SAÚDE E DE SEGURANÇA NO TRABALHO PARA OS SERVIDORES DA EDUCAÇÃO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ca0igo78c7qf5
OCAD;EDUCACAO;NAO_EXCLUSIVO;0.36;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;20890000;MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVAS E OPERACIONAIS-SEE.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000da0ig6d8o9isj
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;20900000;MANUTENÇÃO DO TRANSPORTE ESCOLAR.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ea0igqm8pahyg
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;20930000;GESTÃO DA FOLHA DE PAGAMENTO DA SEE (APOIO ADMINISTRATIVO).;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000fa0ig4ugvtzg2
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;20940000;SALÁRIO EDUCAÇÃO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ga0igxraik2b0
OCAD;EDUCACAO;EXCLUSIVO;1;;PRONTO_PARA_VALIDACAO;2026;717;SECRETARIA DE ESTADO DA EDUCAÇÃO, CULTURA E ESPORTES - SEE;001;UNIDADE GESTORA;20950000;ROYALTIES DO PETRÓLEO E GÁS NATURAL VINCULADOS À EDUCAÇÃO.;true;;VIGENTE;cmprd1s0l000004l57xdz4r5o;Mon Jul 06 2026 10:57:42 GMT-0500 (Horário Padrão do Acre);cmr9eluns000ha0igjf3iqgew
